12, 26
13, 26
14, 28
15, 28
16, 29
17, 29
18, 31
19, 31
20, 33
21, 33
22, 35
23, 35
24, 36
25, 36
26, 38
27, 38
28, 40
29, 40
30, 41
31, 41
32, 43
33, 43
34, 45
35, 45
36, 43
37, 43
38, 45
39, 45
40, 47
41, 47
42, 48
43, 48
44, 50
45, 50
46, 52
47, 52
48, 53
49, 53
50, 55
51, 55
52, 57
53, 57
54, 59
55, 59
56, 60
57, 60
58, 62
59, 62
60, 64
61, 64
62, 65
63, 65
64, 67
65, 67
66, 69
67, 69
68, 71
69, 71
70, 72
71, 72
72, 74
73, 74
74, 76
75, 76
76, 77
77, 77
78, 79
79, 79
80, 81
81, 81
82, 83
83, 83
84, 84
85, 84
86, 86
87, 86
88, 88
89, 88
90, 89
91, 89
92, 91
93, 91
94, 93
95, 93
96, 95
97, 95
98, 96
99, 96
100, 98
101, 98
102, 100
103, 100
104, 101
105, 101
106, 103
107, 103
108, 105
109, 105
110, 107
111, 107
112, 108
113, 108
114, 27
115, 27
116, 29
117, 29
118, 30
119, 30
120, 32
121, 32
122, 34
123, 34
124, 36
125, 36
126, 37
127, 37
128, 39
129, 39
130, 41
131, 41
132, 42
133, 42
134, 44
135, 44
136, 46
137, 46
138, 44
139, 44
140, 46
141, 46
142, 48
143, 48
144, 49
145, 49
146, 51
147, 51
148, 53
149, 53
150, 54
151, 54
152, 56
153, 56
154, 58
155, 58
156, 60
157, 60
158, 61
159, 61
160, 63
161, 63
162, 65
163, 65
164, 66
165, 66
166, 68
167, 68
168, 70
169, 70
170, 72
171, 72
172, 73
173, 73
174, 75
175, 75
176, 77
177, 77
178, 78
179, 78
180, 80
181, 80
182, 82
183, 82
184, 84
185, 84
186, 85
187, 85
188, 87
189, 87
190, 89
191, 89
192, 90
193, 90
194, 92
195, 92
196, 94
197, 94
198, 96
199, 96
200, 97
201, 97
202, 99
203, 99
204, 101
205, 101
206, 102
207, 102
208, 104
209, 104
210, 106
211, 106
212, 108
213, 108
214, 109
215, 109
