0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude No. 7"
1, 0, Copyright_t, "Copyright © 1997 by Bernd Krueger http://www.piano-midi.de"
1, 0, Text_t, "Frediric Chopin"
1, 0, Text_t, "Andantino"
1, 0, Text_t, "Fertiggestellt am 6.5.97\012"
1, 0, Text_t, "Korrekturen am 27.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 3.12.98\012"
1, 0, Text_t, "Update am 9.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 9.6.2010\012"
1, 0, Text_t, "Update am 20.2.2014\012"
1, 0, Text_t, "Dauer: 0:39 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 591424
1, 956, Tempo, 644745
1, 1920, Tempo, 657895
1, 2400, Tempo, 676590
1, 2880, Tempo, 704722
1, 3840, Tempo, 644745
1, 4800, Tempo, 661230
1, 5280, Tempo, 710985
1, 6720, Tempo, 716418
1, 7200, Tempo, 661230
1, 8160, Tempo, 704391
1, 9600, Tempo, 732690
1, 10080, Tempo, 786267
1, 10560, Tempo, 743218
1, 11040, Tempo, 788022
1, 12480, Tempo, 644745
1, 13440, Tempo, 651254
1, 13920, Tempo, 676590
1, 14400, Tempo, 795967
1, 15360, Tempo, 644745
1, 15840, Tempo, 657895
1, 16320, Tempo, 696945
1, 16780, Tempo, 914774
1, 17280, Tempo, 1074499
1, 18240, Tempo, 664599
1, 19200, Tempo, 675068
1, 19680, Tempo, 696945
1, 20160, Tempo, 758438
1, 21100, Tempo, 805910
1, 21600, Tempo, 848416
1, 22080, Tempo, 1098700
1, 22200, Tempo, 1032880
1, 22560, Tempo, 914774
1, 22560, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 64, 0
2, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
2, 956, Control_c, 0, 91, 127
2, 960, Note_on_c, 0, 64, 52
2, 1440, Note_on_c, 0, 64, 0
2, 1440, Note_on_c, 0, 73, 58
2, 1800, Note_on_c, 0, 74, 43
2, 1810, Note_on_c, 0, 73, 0
2, 1920, Note_on_c, 0, 74, 0
2, 1920, Note_on_c, 0, 62, 32
2, 1920, Note_on_c, 0, 68, 32
2, 1920, Note_on_c, 0, 71, 38
2, 2400, Note_on_c, 0, 71, 0
2, 2400, Note_on_c, 0, 68, 0
2, 2400, Note_on_c, 0, 62, 0
2, 2400, Note_on_c, 0, 62, 22
2, 2400, Note_on_c, 0, 68, 22
2, 2400, Note_on_c, 0, 71, 27
2, 2880, Note_on_c, 0, 71, 0
2, 2880, Note_on_c, 0, 68, 0
2, 2880, Note_on_c, 0, 62, 0
2, 2880, Note_on_c, 0, 62, 18
2, 2880, Note_on_c, 0, 68, 18
2, 2880, Note_on_c, 0, 71, 21
2, 3820, Note_on_c, 0, 71, 0
2, 3820, Note_on_c, 0, 68, 0
2, 3820, Note_on_c, 0, 62, 0
2, 3840, Note_on_c, 0, 74, 45
2, 3840, Note_on_c, 0, 78, 45
2, 4320, Note_on_c, 0, 78, 0
2, 4320, Note_on_c, 0, 74, 0
2, 4320, Note_on_c, 0, 72, 44
2, 4320, Note_on_c, 0, 75, 52
2, 4680, Note_on_c, 0, 73, 43
2, 4680, Note_on_c, 0, 76, 51
2, 4690, Note_on_c, 0, 75, 0
